chars,letters,n_words,n_sentences,avg_syl,index_SMOG,count_top_5_in_Slovar_Slov,Fin_literacy_orientation
745,519,77,9,2.792207792207792,8.385519713184589,0,1
1590,994,152,19,2.7434210526315788,6.777109334625088,6,1
1281,1002,165,10,2.5939393939393938,11.911652498703544,16,1
2129,1586,254,19,2.65748031496063,10.191498903022177,13,1
1914,1207,221,23,2.253393665158371,6.164224327781472,18,1
670,463,69,11,2.8405797101449277,8.891153770860452,2,1
2620,1990,315,31,2.7333333333333334,10.092875825116513,40,1
615,391,66,10,2.4393939393939394,5.641636611941087,6,1
1514,1141,183,10,2.633879781420765,12.236689460226678,7,1
1008,753,119,8,2.7478991596638656,12.938085583204359,14,1
1590,1186,209,18,2.38755980861244,8.120832257786885,10,1
573,364,57,8,2.6140350877192984,7.706663764329736,0,1
2612,2024,340,19,2.4911764705882353,10.782753607532413,31,1
730,522,77,7,2.8701298701298703,10.61719992645707,12,1
2532,1939,308,24,2.646103896103896,10.878157738045749,46,1
1383,1142,173,12,2.820809248554913,10.573077813390276,11,1
2118,1634,265,19,2.630188679245283,10.589354818963066,13,1
571,381,60,8,2.6,7.039545764926359,1,1
1754,1348,236,13,2.4152542372881354,9.224898867604441,18,1
694,491,74,9,2.7432432432432434,8.385519713184589,0,1
988,651,103,13,2.7572815533980584,9.224898867604441,7,1
688,390,63,10,2.5714285714285716,7.447039948519948,1,1
641,478,81,6,2.54320987654321,10.258885019106316,7,1
820,572,97,13,2.422680412371134,6.0563812220517095,5,1
3824,2720,456,45,2.5657894736842106,8.280666234677888,34,1
312,244,46,3,2.130434782608696,7.268771825363832,11,1
1489,1127,193,20,2.528497409326425,7.706663764329736,20,1
2097,1615,256,13,2.6875,14.556788861664842,17,1
1997,1540,245,22,2.6489795918367345,9.2842839462516,9,1
1106,860,150,9,2.4266666666666667,9.824263257259968,19,1
3707,2554,420,34,2.526190476190476,8.891153770860452,20,1
433,348,57,7,2.6491228070175437,7.5221387261517805,6,1
4259,3202,546,42,2.4853479853479854,9.501590946955513,83,1
2422,1918,337,27,2.4807121661721068,7.659253625733653,15,1
741,478,77,10,2.6493506493506493,7.957768332469028,4,1
3274,2367,396,37,2.4974747474747474,7.602486613960601,35,1
2011,1499,245,23,2.559183673469388,10.640147184591175,21,1
768,529,87,9,2.5517241379310347,10.258885019106316,13,1
3432,2720,450,37,2.5733333333333333,9.009832286075147,6,1
2403,1673,268,23,2.667910447761194,10.956340397657009,7,1
1617,1181,174,18,2.8908045977011496,10.67574441836639,6,1
3269,2451,402,32,2.58955223880597,9.163252712396382,32,1
701,518,92,9,2.391304347826087,7.268771825363832,2,1
427,290,48,10,2.625,5.641636611941087,4,1
2110,1618,260,24,2.6307692307692307,9.599537510616244,13,1
2567,2039,332,32,2.6204819277108435,8.61041032895036,25,1
319,245,43,3,2.372093023255814,8.891153770860452,3,1
1761,1380,210,19,2.823809523809524,11.70169515564152,16,1
1503,1159,195,16,2.594871794871795,8.891153770860452,22,1
3172,2372,395,24,2.5139240506329115,10.878157738045749,29,1
1772,1301,206,12,2.6844660194174756,13.063825981112037,6,1
1439,910,147,15,2.6122448979591835,8.591366010968818,13,1
978,757,121,11,2.793388429752066,10.374243313676795,13,1
1019,778,131,7,2.618320610687023,12.992123914897872,7,1
307,233,41,5,2.292682926829268,5.641636611941087,1,1
